"date","close","volume","open","high","low"
"2016/05/11","2210.8710","0.0000","2220.9460","2232.2530","2210.6950"
"2016/05/10","2226.8760","0.0000","2202.5610","2227.2980","2195.5000"
"2016/05/09","2196.9410","0.0000","2196.3260","2207.7770","2190.4150"
"2016/05/06","2197.8350","0.0000","2178.3510","2197.9420","2170.6890"
"2016/05/05","2190.7780","0.0000","2202.7400","2208.0370","2188.4720"
"2016/05/04","2190.0670","0.0000","2194.8800","2203.6140","2183.3680"
"2016/05/03","2207.3450","0.0000","2214.6890","2218.3580","2199.0980"
"2016/05/02","2235.4290","0.0000","2229.2040","2237.7850","2216.0400"
"2016/04/29","2231.1270","0.0000","2262.6010","2263.4780","2215.2060"
"2016/04/28","2279.4320","0.0000","2310.3560","2330.9750","2275.1780"
"2016/04/27","2323.1380","0.0000","2301.1330","2326.2880","2291.4620"
"2016/04/26","2313.1990","0.0000","2306.8830","2324.9210","2304.9420"
"2016/04/25","2293.7340","0.0000","2289.0190","2298.3040","2282.6790"
"2016/04/22","2294.2900","0.0000","2299.4770","2312.1360","2278.2600"
"2016/04/21","2310.3910","0.0000","2323.1070","2326.2060","2306.9840"
"2016/04/20","2315.2840","0.0000","2301.6040","2325.6430","2294.7800"
"2016/04/19","2302.9070","0.0000","2325.7570","2326.2330","2288.5250"
"2016/04/18","2319.2670","0.0000","2297.3680","2320.9360","2293.3340"
"2016/04/15","2307.0670","0.0000","2316.9790","2320.4660","2303.5260"
"2016/04/14","2323.5450","0.0000","2328.4940","2329.9010","2310.4000"
"2016/04/13","2347.6830","0.0000","2319.3020","2350.0870","2318.5780"
"2016/04/12","2304.5640","0.0000","2310.3520","2310.4590","2278.3000"
"2016/04/11","2305.3240","0.0000","2325.0400","2341.1830","2304.9600"
"2016/04/08","2308.7880","0.0000","2323.6080","2331.4330","2301.0490"
"2016/04/07","2302.8990","0.0000","2325.2620","2327.2910","2294.1520"
"2016/04/06","2339.1000","0.0000","2309.1320","2339.4650","2299.1150"
"2016/04/05","2310.6930","0.0000","2317.8470","2324.9740","2307.4870"
"2016/04/04","2338.4470","0.0000","2350.9860","2355.2370","2333.7740"
"2016/04/01","2352.9980","0.0000","2323.7050","2353.3960","2315.1430"
"2016/03/31","2342.0900","0.0000","2334.4190","2349.4800","2331.3360"
"2016/03/30","2337.8560","0.0000","2337.5260","2350.8240","2330.3640"
"2016/03/29","2324.4200","0.0000","2284.4960","2328.5840","2281.1650"
"2016/03/28","2294.5990","0.0000","2303.4860","2304.5190","2287.5780"
"2016/03/24","2297.8480","0.0000","2288.1770","2297.9110","2275.2820"
"2016/03/23","2302.3260","0.0000","2335.6580","2336.0010","2298.4590"
"2016/03/22","2338.4210","0.0000","2318.8390","2345.3820","2316.8000"
"2016/03/21","2330.3300","0.0000","2317.3700","2331.0140","2312.0910"
"2016/03/18","2323.8440","0.0000","2305.2400","2324.5750","2305.0920"
"2016/03/17","2297.1930","0.0000","2281.7550","2303.0810","2276.9160"
"2016/03/16","2284.7860","0.0000","2251.5960","2287.6910","2250.9570"
"2016/03/15","2260.5840","0.0000","2263.0280","2263.4170","2246.5010"
"2016/03/14","2269.1000","0.0000","2266.0800","2275.6840","2264.1380"
"2016/03/11","2277.3670","0.0000","2257.0210","2277.5880","2252.0400"
"2016/03/10","2231.8310","0.0000","2237.9700","2258.0630","2198.3170"
"2016/03/09","2230.2720","0.0000","2217.9210","2234.4790","2209.8560"
"2016/03/08","2206.0970","0.0000","2229.8110","2232.8550","2203.8740"
"2016/03/07","2248.2000","0.0000","2226.7900","2259.5730","2222.5510"
"2016/03/04","2240.8030","0.0000","2236.1140","2255.8310","2220.6730"
"2016/03/03","2228.3460","0.0000","2224.8540","2229.8040","2207.8080"
"2016/03/02","2227.1360","0.0000","2216.4710","2227.7670","2211.6680"
"2016/03/01","2220.5070","0.0000","2172.1730","2220.5070","2166.1570"
"2016/02/29","2153.0230","0.0000","2163.6670","2182.9820","2152.7980"
"2016/02/26","2165.3650","0.0000","2179.2100","2180.4680","2159.1330"
"2016/02/25","2157.5480","0.0000","2137.5550","2157.6010","2116.2210"
